"cierre","fecha"
"683","1999-03-31"
"760","1999-06-30"
"677","1999-09-30"
"531","1999-12-31"
"570","2000-03-31"
"687","2000-06-30"
"673","2000-09-29"
"766","2000-12-29"
"945","2001-03-30"
"1025","2001-06-29"
"1595","2001-09-28"
"4404","2001-12-31"
"5043","2002-03-29"
"6791","2002-06-28"
"6606","2002-09-30"
"6303","2002-12-31"
"6119","2003-03-31"
"4554","2003-06-30"
"5484","2003-09-30"
"5632","2003-12-31"
"4873","2004-03-31"
"5188","2004-06-30"
"5440","2004-09-30"
"4703","2004-12-31"
"5393","2005-03-31"
"462","2005-06-30"
"349","2005-09-30"
"504","2005-12-31"
"344","2006-03-31"
"385","2006-06-30"
"342","2006-09-29"
"216","2006-12-29"
"204","2007-03-30"
"325","2007-06-29"
"398","2007-09-28"
"410","2007-12-31"
"581","2008-03-31"
"614","2008-06-30"
"953","2008-09-30"
"1704","2008-12-31"
"1894","2009-03-31"
"1062","2009-06-30"
"784","2009-09-30"
"660","2009-12-31"
"646","2010-03-31"
"845","2010-06-30"
"689","2010-09-30"
"507","2010-12-31"
"539","2011-03-31"
"568","2011-06-30"
"993","2011-09-30"
"925","2011-12-30"
"880","2012-03-30"
"1088","2012-06-29"
"897","2012-09-28"
"991","2012-12-31"
"1337","2013-03-27"
"1199","2013-06-28"
"1035","2013-09-30"
"808","2013-12-31"
"799","2014-03-31"
"724","2014-06-30"
"700","2014-09-30"
"719","2014-12-31"
"629","2015-03-31"
"631","2015-06-30"
"591","2015-09-30"
"438","2015-12-31"
"444","2016-03-31"
"495","2016-06-30"
"441","2016-09-30"
"455","2016-12-30"
"442","2017-03-31"
"432","2017-06-30"
"377","2017-09-29"
"351","2017-12-29"
"420","2018-03-29"
"610","2018-06-29"
"623","2018-09-28"
"814","2018-12-31"
"772","2019-03-31"
"829","2019-06-30"
"2130","2019-09-30"
"1770","2019-12-31"
"3884","2020-03-31"
"2494","2020-06-30"
"1300","2020-09-30"
"1372","2020-12-31"
"1588","2021-03-31"
"1596","2021-06-30"
"1612","2021-09-30"
"1697","2021-12-31"
"1736","2022-03-31"
"2374","2022-06-30"
"2702","2022-09-29"
"2213","2022-12-31"
"2276","2023-03-31"
"2028","2023-06-30"
"2543","2023-09-30"
"1906","2023-12-31"
