cierre,fecha,año
683,31/03/1999,1999
760,30/06/1999,1999
677,30/09/1999,1999
531,31/12/1999,1999
570,31/03/2000,2000
687,30/06/2000,2000
673,29/09/2000,2000
766,29/12/2000,2000
945,30/03/2001,2001
1025,29/06/2001,2001
1595,28/09/2001,2001
4404,31/12/2001,2001
5043,29/03/2002,2002
6791,28/06/2002,2002
6606,30/09/2002,2002
6303,31/12/2002,2002
6119,31/03/2003,2003
4554,30/06/2003,2003
5484,30/09/2003,2003
5632,31/12/2003,2003
4873,31/03/2004,2004
5188,30/06/2004,2004
5440,30/09/2004,2004
4703,31/12/2004,2004
5393,31/03/2005,2005
462,30/06/2005,2005
349,30/09/2005,2005
504,31/12/2005,2005
344,31/03/2006,2006
385,30/06/2006,2006
342,29/09/2006,2006
216,29/12/2006,2006
204,30/03/2007,2007
325,29/06/2007,2007
398,28/09/2007,2007
410,31/12/2007,2007
581,31/03/2008,2008
614,30/06/2008,2008
953,30/09/2008,2008
1704,31/12/2008,2008
1894,31/03/2009,2009
1062,30/06/2009,2009
784,30/09/2009,2009
660,31/12/2009,2009
646,31/03/2010,2010
845,30/06/2010,2010
689,30/09/2010,2010
507,31/12/2010,2010
539,31/03/2011,2011
568,30/06/2011,2011
993,30/09/2011,2011
925,30/12/2011,2011
880,30/03/2012,2012
1088,29/06/2012,2012
897,28/09/2012,2012
991,31/12/2012,2012
1337,27/03/2013,2013
1199,28/06/2013,2013
1035,30/09/2013,2013
808,31/12/2013,2013
799,31/03/2014,2014
724,30/06/2014,2014
700,30/09/2014,2014
719,31/12/2014,2014
629,31/03/2015,2015
631,30/06/2015,2015
591,30/09/2015,2015
438,31/12/2015,2015
444,31/03/2016,2016
495,30/06/2016,2016
441,30/09/2016,2016
455,30/12/2016,2016
442,31/03/2017,2017
432,30/06/2017,2017
377,29/09/2017,2017
351,29/12/2017,2017
420,29/03/2018,2018
610,29/06/2018,2018
623,28/09/2018,2018
814,31/12/2018,2018
772,31/03/2019,2019
829,30/06/2019,2019
2130,30/09/2019,2019
1770,31/12/2019,2019
3884,31/03/2020,2020
2494,30/06/2020,2020
1300,30/09/2020,2020
1372,31/12/2020,2020
1588,31/03/2021,2021
1596,30/06/2021,2021
1612,30/09/2021,2021
1697,31/12/2021,2021
1736,31/03/2022,2022
2374,30/06/2022,2022
2702,29/09/2022,2022
2213,31/12/2022,2022
2276,31/03/2023,2023
2028,30/06/2023,2023
2543,30/09/2023,2023
1906,31/12/2023,2023
