"año","pbi_en__mm","cierre","fecha"
"1999","398793","531","31/12/1999"
"1999","398793","677","30/09/1999"
"1999","398793","683","31/03/1999"
"1999","398793","760","30/06/1999"
"2000","395646","570","31/03/2000"
"2000","395646","673","29/09/2000"
"2000","395646","687","30/06/2000"
"2000","395646","766","29/12/2000"
"2001","378203","945","30/03/2001"
"2001","378203","1025","29/06/2001"
"2001","378203","1595","28/09/2001"
"2001","378203","4404","31/12/2001"
"2002","336999","5043","29/03/2002"
"2002","336999","6303","31/12/2002"
"2002","336999","6606","30/09/2002"
"2002","336999","6791","28/06/2002"
"2003","366780","4554","30/06/2003"
"2003","366780","5484","30/09/2003"
"2003","366780","5632","31/12/2003"
"2003","366780","6119","31/03/2003"
"2004","399899","4703","31/12/2004"
"2004","399899","4873","31/03/2004"
"2004","399899","5188","30/06/2004"
"2004","399899","5440","30/09/2004"
"2005","435297","349","30/09/2005"
"2005","435297","462","30/06/2005"
"2005","435297","504","31/12/2005"
"2005","435297","5393","31/03/2005"
"2006","470326","216","29/12/2006"
"2006","470326","342","29/09/2006"
"2006","470326","344","31/03/2006"
"2006","470326","385","30/06/2006"
"2007","512691","204","30/03/2007"
"2007","512691","325","29/06/2007"
"2007","512691","398","28/09/2007"
"2007","512691","410","31/12/2007"
"2008","533492","581","31/03/2008"
"2008","533492","614","30/06/2008"
"2008","533492","953","30/09/2008"
"2008","533492","1704","31/12/2008"
"2009","501917","660","31/12/2009"
"2009","501917","784","30/09/2009"
"2009","501917","1062","30/06/2009"
"2009","501917","1894","31/03/2009"
"2010","552738","507","31/12/2010"
"2010","552738","646","31/03/2010"
"2010","552738","689","30/09/2010"
"2010","552738","845","30/06/2010"
"2011","585924","539","31/03/2011"
"2011","585924","568","30/06/2011"
"2011","585924","925","30/12/2011"
"2011","585924","993","30/09/2011"
"2012","579910","880","30/03/2012"
"2012","579910","897","28/09/2012"
"2012","579910","991","31/12/2012"
"2012","579910","1088","29/06/2012"
"2013","593859","808","31/12/2013"
"2013","593859","1035","30/09/2013"
"2013","593859","1199","28/06/2013"
"2013","593859","1337","27/03/2013"
"2014","578938","700","30/09/2014"
"2014","578938","719","31/12/2014"
"2014","578938","724","30/06/2014"
"2014","578938","799","31/03/2014"
"2015","594749","438","31/12/2015"
"2015","594749","591","30/09/2015"
"2015","594749","629","31/03/2015"
"2015","594749","631","30/06/2015"
"2016","582377","441","30/09/2016"
"2016","582377","444","31/03/2016"
"2016","582377","455","30/12/2016"
"2016","582377","495","30/06/2016"
"2017","598791","351","29/12/2017"
"2017","598791","377","29/09/2017"
"2017","598791","432","30/06/2017"
"2017","598791","442","31/03/2017"
"2018","583118","420","29/03/2018"
"2018","583118","610","29/06/2018"
"2018","583118","623","28/09/2018"
"2018","583118","814","31/12/2018"
"2019","571451","772","31/03/2019"
"2019","571451","829","30/06/2019"
"2019","571451","1770","31/12/2019"
"2019","571451","2130","30/09/2019"
"2020","514874","1300","30/09/2020"
"2020","514874","1372","31/12/2020"
"2020","514874","2494","30/06/2020"
"2020","514874","3884","31/03/2020"
"2021","570059","1588","31/03/2021"
"2021","570059","1596","30/06/2021"
"2021","570059","1612","30/09/2021"
"2021","570059","1697","31/12/2021"
"2022","598313","1736","31/03/2022"
"2022","598313","2213","31/12/2022"
"2022","598313","2374","30/06/2022"
"2022","598313","2702","29/09/2022"
"2023","589036","1906","31/12/2023"
"2023","589036","2028","30/06/2023"
"2023","589036","2276","31/03/2023"
"2023","589036","2543","30/09/2023"
